invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2010,4,1,9,80442,33.297394,-109.71099,-109.71099,33.297394
2004,4,1,9,80842,33.529896,-109.977402,-109.977402,33.529896
2005,4,1,9,80981,33.431732,-109.550729,-109.550729,33.431732
2003,4,1,9,81101,33.432898,-109.602616,-109.602616,33.432898
2003,4,1,9,81356,33.567941,-109.598372,-109.598372,33.567941
2010,4,1,9,81498,33.484597,-109.982564,-109.982564,33.484597
2002,4,1,9,81616,33.345174,-109.496852,-109.496852,33.345174
2010,4,1,9,82330,33.347486,-109.822163,-109.822163,33.347486
2008,4,1,9,82396,33.503877,-109.584221,-109.584221,33.503877
2006,4,1,9,82709,33.532233,-109.643045,-109.643045,33.532233
2009,4,1,9,82749,33.392877,-109.877526,-109.877526,33.392877
2002,4,1,9,83278,33.342776,-109.767897,-109.767897,33.342776
2005,4,1,9,83415,33.568812,-109.548696,-109.548696,33.568812
2010,4,1,9,84427,33.474904,-109.651997,-109.651997,33.474904
2004,4,1,9,84489,33.478628,-109.871472,-109.871472,33.478628
2004,4,1,9,84846,33.525474,-109.711106,-109.711106,33.525474
2009,4,1,9,85067,33.382102,-109.560173,-109.560173,33.382102
2003,4,1,9,85495,33.439958,-109.872803,-109.872803,33.439958
2007,4,1,9,85544,33.38473,-109.603439,-109.603439,33.38473
2001,4,1,9,85703,33.431769,-109.923373,-109.923373,33.431769
2001,4,1,9,85708,33.390729,-109.818863,-109.818863,33.390729
2010,4,1,9,85840,33.34092,-109.552018,-109.552018,33.34092
2007,4,1,9,86115,33.549223,-109.900683,-109.900683,33.549223
2009,4,1,9,86138,33.441871,-109.97597,-109.97597,33.441871
2005,4,1,9,87094,33.538068,-109.676776,-109.676776,33.538068
2007,4,1,9,87359,33.524314,-109.599615,-109.599615,33.524314
2002,4,1,9,87425,33.476969,-109.928047,-109.928047,33.476969
2005,4,1,9,87781,33.430782,-109.815015,-109.815015,33.430782
2008,4,1,9,87980,33.340416,-109.599944,-109.599944,33.340416
2007,4,1,9,88334,33.431376,-109.769424,-109.769424,33.431376
2007,4,1,9,88982,33.386722,-109.924443,-109.924443,33.386722
2002,4,1,9,89152,33.482342,-109.590081,-109.590081,33.482342
2004,4,1,9,89351,33.620924,-109.552027,-109.552027,33.620924
2004,4,1,9,89542,33.475545,-109.542776,-109.542776,33.475545
2001,4,1,9,89683,33.435772,-109.656083,-109.656083,33.435772
2008,4,1,9,89812,33.35081,-109.869955,-109.869955,33.35081
2001,4,1,9,90514,33.571086,-109.650947,-109.650947,33.571086
2006,4,1,9,90589,33.52313,-109.925987,-109.925987,33.52313
2010,4,1,9,90754,33.486343,-109.546874,-109.546874,33.486343
2008,4,1,9,91077,33.526151,-109.8687,-109.8687,33.526151
2008,4,1,9,91272,33.301652,-109.77702,-109.77702,33.301652
2003,4,1,9,91469,33.388478,-109.769792,-109.769792,33.388478
2009,4,1,9,91806,33.522172,-109.549473,-109.549473,33.522172
2010,4,1,11,80122,33.113038,-109.121271,-109.121271,33.113038
2001,4,1,11,80342,33.561189,-109.331941,-109.331941,33.561189
2009,4,1,11,80493,33.698489,-109.274746,-109.274746,33.698489
2003,4,1,11,80527,33.56193,-109.061769,-109.061769,33.56193
2002,4,1,11,80552,33.302588,-109.348123,-109.348123,33.302588
2007,4,1,11,80556,33.52076,-109.326572,-109.326572,33.52076
2009,4,1,11,80588,33.40181,-109.145613,-109.145613,33.40181
2001,4,1,11,80728,33.199059,-109.23588,-109.23588,33.199059
2007,4,1,11,80832,33.558375,-109.174283,-109.174283,33.558375
