invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2008,2,1,20,864,61.198815,-149.266815,-149.266815,61.198815
2004,2,1,20,6376,60.935487,-149.119202,-149.119202,60.935487
2008,2,1,20,14108,61.280747,-149.437824,-149.437824,61.280747
2012,2,1,20,21657,61.021886,-149.377398,-149.377398,61.021886
2008,2,1,20,22943,61.148001,-149.080799,-149.080799,61.148001
2012,2,1,20,26081,60.965326,-148.767475,-148.767475,60.965326
2007,2,1,20,30527,61.419496,-149.396415,-149.396415,61.419496
2009,2,1,20,31021,61.327607,-149.231313,-149.231313,61.327607
2008,2,1,20,31286,61.00621,-149.517605,-149.517605,61.00621
2005,2,1,20,32136,60.757146,-148.975329,-148.975329,60.757146
2012,2,1,20,33347,60.883971,-148.961737,-148.961737,60.883971
2013,2,1,20,34074,60.977797,-149.306379,-149.306379,60.977797
2011,2,1,20,39615,60.791188,-148.879098,-148.879098,60.791188
2010,2,1,20,43887,60.979653,-149.127638,-149.127638,60.979653
2005,2,1,20,56826,60.879217,-148.871969,-148.871969,60.879217
2008,2,1,20,56834,61.282318,-149.520759,-149.520759,61.282318
2009,2,1,20,57547,60.985393,-149.381132,-149.381132,60.985393
2013,2,1,20,57778,60.936641,-149.311043,-149.311043,60.936641
2004,2,1,100,1681,59.373291,-135.824641,-135.824641,59.373291
2012,2,1,100,2368,58.666345,-135.254927,-135.254927,58.666345
2004,2,1,100,3176,58.487353,-135.183567,-135.183567,58.487353
2008,2,1,100,5354,59.563504,-135.875295,-135.875295,59.563504
2010,2,1,100,8060,58.484594,-135.459043,-135.459043,58.484594
2009,2,1,100,9824,59.227003,-135.72777,-135.72777,59.227003
2010,2,1,100,10062,59.302822,-135.333036,-135.333036,59.302822
2007,2,1,100,10662,59.513974,-135.845839,-135.845839,59.513974
2005,2,1,100,10869,59.282139,-135.181329,-135.181329,59.282139
2008,2,1,100,11769,59.651634,-135.849688,-135.849688,59.651634
2010,2,1,100,11786,58.542312,-135.32906,-135.32906,58.542312
2012,2,1,100,14936,59.32914,-135.768671,-135.768671,59.32914
2008,2,1,100,16275,59.411937,-136.054095,-136.054095,59.411937
2007,2,1,100,18026,58.2672,-135.211673,-135.211673,58.2672
2009,2,1,100,18200,59.017411,-135.145866,-135.145866,59.017411
2013,2,1,100,18403,59.580119,-135.982432,-135.982432,59.580119
2011,2,1,100,19202,59.340684,-135.83577,-135.83577,59.340684
2012,2,1,100,19494,59.041663,-135.192981,-135.192981,59.041663
2010,2,1,100,21976,59.189916,-135.150533,-135.150533,59.189916
2007,2,1,100,23306,59.298802,-135.851757,-135.851757,59.298802
2009,2,1,100,25310,59.378101,-135.478588,-135.478588,59.378101
2012,2,1,100,26053,59.60378,-136.208871,-136.208871,59.60378
2006,2,1,100,27096,58.301277,-135.200674,-135.200674,58.301277
2013,2,1,100,29255,58.292709,-135.130818,-135.130818,58.292709
2011,2,1,100,29359,58.463959,-135.36426,-135.36426,58.463959
2010,2,1,100,29407,58.560502,-135.20728,-135.20728,58.560502
