invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2010,4,1,3,80152,31.67413,-109.367392,-109.367392,31.67413
2006,4,1,3,80177,32.002333,-109.884158,-109.884158,32.002333
2005,4,1,3,80199,31.767979,-109.62401,-109.62401,31.767979
2006,4,1,3,80201,31.973545,-109.324102,-109.324102,31.973545
2003,4,1,3,80344,31.949957,-110.258836,-110.258836,31.949957
2004,4,1,3,80358,31.845898,-109.251962,-109.251962,31.845898
2005,4,1,3,80456,31.759578,-109.104041,-109.104041,31.759578
2008,4,1,3,80464,31.362585,-110.41889,-110.41889,31.362585
2008,4,1,3,80470,31.338855,-110.150526,-110.150526,31.338855
2001,4,1,3,80497,32.133475,-110.314656,-110.314656,32.133475
2009,4,1,3,80500,31.406557,-109.682074,-109.682074,31.406557
2001,4,1,3,80502,31.634765,-110.316736,-110.316736,31.634765
2007,4,1,3,80506,31.44629,-109.626757,-109.626757,31.44629
2008,4,1,3,80514,31.837523,-110.399136,-110.399136,31.837523
2005,4,1,3,80595,31.409266,-110.366734,-110.366734,31.409266
2008,4,1,3,80615,31.862918,-109.999351,-109.999351,31.862918
2010,4,1,3,80971,31.67962,-110.367199,-110.367199,31.67962
2009,4,1,3,81012,31.898435,-109.357602,-109.357602,31.898435
2004,4,1,3,81071,31.690458,-109.807753,-109.807753,31.690458
2006,4,1,3,81167,31.628006,-109.372041,-109.372041,31.628006
2008,4,1,3,81186,31.622293,-109.317299,-109.317299,31.622293
2002,4,1,3,81223,32.145782,-109.707939,-109.707939,32.145782
2009,4,1,3,81358,32.255325,-109.201449,-109.201449,32.255325
2002,4,1,3,81393,32.355108,-110.098662,-110.098662,32.355108
2010,4,1,3,81497,32.123073,-109.203205,-109.203205,32.123073
2006,4,1,3,81533,31.809334,-109.362447,-109.362447,31.809334
2002,4,1,3,81605,31.340621,-110.024175,-110.024175,31.340621
2009,4,1,3,81800,31.93967,-109.250963,-109.250963,31.93967
2007,4,1,3,81826,31.409939,-110.319359,-110.319359,31.409939
2009,4,1,3,81923,31.943234,-109.783592,-109.783592,31.943234
2002,4,1,3,81969,32.079305,-109.361068,-109.361068,32.079305
2001,4,1,3,82185,31.756129,-109.201868,-109.201868,31.756129
2002,4,1,3,82187,31.851354,-109.30933,-109.30933,31.851354
2004,4,1,3,82231,32.349285,-109.501517,-109.501517,32.349285
2004,4,1,3,82298,31.677892,-110.212427,-110.212427,31.677892
2002,4,1,3,82309,31.542678,-110.420775,-110.420775,31.542678
2010,4,1,3,82311,31.84708,-109.097115,-109.097115,31.84708
2006,4,1,3,82514,31.623296,-109.052342,-109.052342,31.623296
2007,4,1,3,82600,31.940207,-109.306334,-109.306334,31.940207
2003,4,1,3,82615,32.126365,-109.671384,-109.671384,32.126365
2001,4,1,3,82649,31.718677,-109.360332,-109.360332,31.718677
2001,4,1,3,82656,31.451166,-109.789671,-109.789671,31.451166
2004,4,1,3,82695,31.620179,-109.103982,-109.103982,31.620179
2006,4,1,3,82765,31.988322,-109.204394,-109.204394,31.988322
2007,4,1,3,82793,31.89395,-109.146213,-109.146213,31.89395
2001,4,1,3,82806,32.254338,-109.718249,-109.718249,32.254338
