invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2005,20,2,19,20361,37.161605,-96.290133,-96.290133,37.161605
2002,20,2,19,20369,37.287522,-96.503894,-96.503894,37.287522
2003,20,2,19,20392,37.170204,-96.509769,-96.509769,37.170204
2002,20,2,35,20531,37.037729,-96.5678,-96.5678,37.037729
2004,20,2,35,20544,37.407333,-96.709741,-96.709741,37.407333
2002,20,2,35,20563,37.108175,-96.703977,-96.703977,37.108175
2001,20,2,35,20612,37.071398,-97.003148,-97.003148,37.071398
2004,20,2,35,20613,37.061259,-96.952156,-96.952156,37.061259
2002,20,2,35,20617,37.056196,-96.892942,-96.892942,37.056196
2003,20,2,35,20618,37.036117,-96.978595,-96.978595,37.036117
2005,20,2,35,20624,37.389199,-96.984734,-96.984734,37.389199
2005,20,2,35,20647,37.10183,-96.91333,-96.91333,37.10183
2005,20,3,7,20311,37.214888,-98.385079,-98.385079,37.214888
2001,20,3,7,20321,37.128184,-98.615569,-98.615569,37.128184
2003,20,3,7,20359,37.269211,-98.74478,-98.74478,37.269211
2001,20,3,7,20364,37.212432,-98.666263,-98.666263,37.212432
2003,20,3,7,20370,37.202681,-98.75051,-98.75051,37.202681
2004,20,3,7,20374,37.195372,-98.866206,-98.866206,37.195372
2005,20,3,7,20408,37.26313,-98.686311,-98.686311,37.26313
2003,20,3,77,20245,37.04656,-98.026293,-98.026293,37.04656
2004,20,3,191,20326,37.241308,-97.353249,-97.353249,37.241308
2005,20,3,191,20338,37.043613,-97.366359,-97.366359,37.043613
2001,22,5,17,22,32.276798,-93.911334,-93.911334,32.276798
2001,22,5,17,26,32.252891,-94.004614,-94.004614,32.252891
2003,22,5,17,43,32.365266,-94.009025,-94.009025,32.365266
2002,22,5,17,48,32.236027,-93.907495,-93.907495,32.236027
2002,22,5,17,49,32.408222,-94.022605,-94.022605,32.408222
2001,22,5,17,54,32.275098,-93.857007,-93.857007,32.275098
2002,22,5,17,55,32.318972,-93.917215,-93.917215,32.318972
2003,22,5,17,57,32.327746,-94.018162,-94.018162,32.327746
2003,22,5,17,59,32.279729,-94.017205,-94.017205,32.279729
2005,22,5,17,70,32.280567,-93.956606,-93.956606,32.280567
2004,22,5,17,92,32.237412,-94.015261,-94.015261,32.237412
2009,22,5,17,101,32.24321,-94.034359,-94.034359,32.24321
2003,22,5,31,1,31.95935,-93.823141,-93.823141,31.95935
2001,22,5,31,2,32.193869,-94.003643,-94.003643,32.193869
2003,22,5,31,4,32.10911,-93.80661,-93.80661,32.10911
2001,22,5,31,5,32.150098,-93.90988,-93.90988,32.150098
2002,22,5,31,6,32.078064,-93.837631,-93.837631,32.078064
2003,22,5,31,7,31.933732,-93.957554,-93.957554,31.933732
2001,22,5,31,9,32.217767,-93.874981,-93.874981,32.217767
2002,22,5,31,10,32.059735,-93.955486,-93.955486,32.059735
2001,22,5,31,18,31.978869,-93.802638,-93.802638,31.978869
2002,22,5,31,19,32.146483,-93.755242,-93.755242,32.146483
2003,22,5,31,23,32.025002,-93.954742,-93.954742,32.025002
2002,22,5,31,31,32.012656,-93.860137,-93.860137,32.012656
2001,22,5,31,40,32.065961,-93.752427,-93.752427,32.065961
2003,22,5,31,41,32.11031,-93.814731,-93.814731,32.11031
2001,22,5,31,44,31.975388,-93.956807,-93.956807,31.975388
2002,22,5,31,46,31.932894,-93.853681,-93.853681,31.932894
2002,22,5,31,47,32.057248,-93.732637,-93.732637,32.057248
2003,22,5,31,50,32.012921,-93.80245,-93.80245,32.012921
2002,22,5,31,55,32.098314,-93.699538,-93.699538,32.098314
2003,22,5,31,56,32.103625,-93.958616,-93.958616,32.103625
2004,22,5,31,62,32.019296,-93.746401,-93.746401,32.019296
2004,22,5,31,63,32.149928,-94.008264,-94.008264,32.149928
2004,22,5,31,65,32.062522,-93.697712,-93.697712,32.062522
2004,22,5,31,66,32.016225,-93.906008,-93.906008,32.016225
2005,22,5,31,67,32.234225,-93.864805,-93.864805,32.234225
2005,22,5,31,71,32.018121,-94.01353,-94.01353,32.018121
2005,22,5,31,72,32.187814,-93.959168,-93.959168,32.187814
2005,22,5,31,75,32.101603,-94.000481,-94.000481,32.101603
2004,22,5,31,77,32.058445,-94.011297,-94.011297,32.058445
2005,22,5,31,78,31.977552,-93.899443,-93.899443,31.977552
2005,22,5,31,80,32.09943,-93.851205,-93.851205,32.09943
2004,22,5,31,81,32.184801,-93.858928,-93.858928,32.184801
2004,22,5,31,84,32.10068,-93.908406,-93.908406,32.10068
2004,22,5,31,85,32.106224,-93.748739,-93.748739,32.106224
2010,22,5,31,95,31.927087,-93.834927,-93.834927,31.927087
2015,22,5,31,97,32.187814,-93.959168,-93.959168,32.187814
2008,40,1,13,115,33.802248,-96.503588,-96.503588,33.802248
2008,40,1,13,117,33.940075,-96.555378,-96.555378,33.940075
2008,40,1,13,199,33.732109,-96.326938,-96.326938,33.732109
2012,40,3,37,8,35.966595,-96.095345,-96.095345,35.966595
2010,40,3,37,12,35.974906,-96.165283,-96.165283,35.974906
2013,40,3,37,13,35.986093,-96.209223,-96.209223,35.986093
2009,40,3,37,19,35.964544,-96.310248,-96.310248,35.964544
2010,40,3,37,22,35.808857,-96.199309,-96.199309,35.808857
2011,40,3,37,24,35.684426,-96.194936,-96.194936,35.684426
2014,40,3,37,25,35.777897,-96.231295,-96.231295,35.777897
2010,40,3,37,29,35.654768,-96.237677,-96.237677,35.654768
2013,40,3,37,30,35.661132,-96.284276,-96.284276,35.661132
2011,40,3,37,31,35.746413,-96.332066,-96.332066,35.746413
2012,40,3,37,32,35.708871,-96.303674,-96.303674,35.708871
2012,40,3,37,34,36.029071,-96.229728,-96.229728,36.029071
2012,40,3,37,38,36.085798,-96.370712,-96.370712,36.085798
2011,40,3,37,39,36.146545,-96.384296,-96.384296,36.146545
2010,40,3,37,41,36.101875,-96.422104,-96.422104,36.101875
2015,40,3,37,42,36.057049,-96.409039,-96.409039,36.057049
2014,40,3,37,43,36.062212,-96.4626,-96.4626,36.062212
