invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2008,2,1,20,20842,61.32434,-149.527914,-149.527914,61.32434
2005,2,1,20,26321,61.295441,-149.691039,-149.691039,61.295441
2013,2,1,20,29646,61.377313,-149.500584,-149.500584,61.377313
2009,2,1,20,31291,61.132469,-149.892218,-149.892218,61.132469
2012,2,1,20,34158,61.249312,-149.61252,-149.61252,61.249312
2012,2,1,20,35780,61.166639,-149.816759,-149.816759,61.166639
2013,2,1,20,52186,61.212071,-149.713629,-149.713629,61.212071
2013,2,1,20,57268,61.072056,-149.779393,-149.779393,61.072056
2013,2,1,20,62707,61.130196,-149.804741,-149.804741,61.130196
2006,2,1,122,759,60.581392,-150.153097,-150.153097,60.581392
2005,2,1,122,945,60.860481,-150.058788,-150.058788,60.860481
2011,2,1,122,1011,60.495853,-150.239283,-150.239283,60.495853
2007,2,1,122,1173,60.174173,-151.068502,-151.068502,60.174173
2008,2,1,122,1528,60.4615,-150.856612,-150.856612,60.4615
2006,2,1,122,2261,60.170162,-151.335339,-151.335339,60.170162
2010,2,1,122,2760,60.083371,-151.404445,-151.404445,60.083371
2008,2,1,122,2778,60.385587,-150.956528,-150.956528,60.385587
2004,2,1,122,2896,60.165604,-150.982119,-150.982119,60.165604
2006,2,1,122,2972,59.920975,-151.523798,-151.523798,59.920975
2010,2,1,122,3032,60.645864,-151.01189,-151.01189,60.645864
2010,2,1,122,3094,60.700395,-150.212563,-150.212563,60.700395
2012,2,1,122,3436,60.380756,-150.697004,-150.697004,60.380756
2011,2,1,122,3452,60.28558,-150.708036,-150.708036,60.28558
2007,2,1,122,3476,60.071822,-150.806064,-150.806064,60.071822
2013,2,1,122,3805,59.788215,-151.440367,-151.440367,59.788215
2006,2,1,122,4272,60.936463,-150.627756,-150.627756,60.936463
2006,2,1,122,4458,60.668676,-150.658263,-150.658263,60.668676
2011,2,1,122,4561,60.289933,-150.606388,-150.606388,60.289933
2007,2,1,122,5326,60.638608,-151.196276,-151.196276,60.638608
2004,2,1,122,5439,60.083811,-151.236623,-151.236623,60.083811
2004,2,1,122,5589,60.375271,-150.426071,-150.426071,60.375271
2005,2,1,122,5763,60.272365,-150.912304,-150.912304,60.272365
2012,2,1,122,5955,60.917029,-150.278478,-150.278478,60.917029
2007,2,1,122,6060,60.373235,-150.616307,-150.616307,60.373235
2011,2,1,122,6193,60.468624,-150.760148,-150.760148,60.468624
2004,2,1,122,6222,60.584501,-150.409031,-150.409031,60.584501
2013,2,1,122,6924,59.919758,-151.42108,-151.42108,59.919758
