invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2003,1,1,129,14,31.639709,-88.354667,-88.354667,31.639709
2004,1,1,129,24,31.68435,-88.155582,-88.155582,31.68435
2002,1,1,129,35,31.689178,-88.204061,-88.204061,31.689178
2001,1,1,129,39,31.685883,-88.111379,-88.111379,31.685883
2002,1,1,129,53,31.686409,-88.354169,-88.354169,31.686409
2004,1,1,129,65,31.678636,-88.301506,-88.301506,31.678636
2002,1,1,129,74,31.68024,-88.450593,-88.450593,31.68024
2001,1,1,129,75,31.679703,-88.253156,-88.253156,31.679703
2005,1,1,129,102,31.642337,-88.404596,-88.404596,31.642337
2006,1,1,129,127,31.663454,-88.389706,-88.389706,31.663454
2003,1,2,23,1,31.719859,-88.307014,-88.307014,31.719859
2004,1,2,23,2,32.258757,-88.264594,-88.264594,32.258757
2003,1,2,23,3,31.942151,-88.362574,-88.362574,31.942151
2004,1,2,23,4,31.768734,-88.404474,-88.404474,31.768734
2004,1,2,23,5,32.298587,-88.267939,-88.267939,32.298587
2004,1,2,23,6,31.994467,-88.361738,-88.361738,31.994467
2001,1,2,23,7,31.814923,-88.45916,-88.45916,31.814923
2001,1,2,23,8,32.079728,-88.099683,-88.099683,32.079728
2001,1,2,23,9,32.299588,-88.208554,-88.208554,32.299588
2002,1,2,23,10,31.861065,-88.457515,-88.457515,31.861065
2003,1,2,23,11,32.208286,-88.153108,-88.153108,32.208286
2002,1,2,23,12,31.903921,-88.399277,-88.399277,31.903921
2002,1,2,23,13,32.126556,-88.309141,-88.309141,32.126556
2001,1,2,23,14,32.294655,-88.052062,-88.052062,32.294655
2001,1,2,23,15,31.893792,-88.152609,-88.152609,31.893792
2002,1,2,23,16,32.25739,-88.311896,-88.311896,32.25739
2002,1,2,23,17,32.165623,-88.050878,-88.050878,32.165623
2001,1,2,23,18,31.896107,-88.299958,-88.299958,31.896107
2002,1,2,23,19,32.076162,-88.198248,-88.198248,32.076162
2003,1,2,23,20,32.123159,-88.211189,-88.211189,32.123159
2004,1,2,23,21,32.172759,-88.312711,-88.312711,32.172759
2003,1,2,23,22,32.035916,-88.357912,-88.357912,32.035916
2003,1,2,23,23,32.145307,-88.230468,-88.230468,32.145307
2003,1,2,23,24,31.906181,-88.210311,-88.210311,31.906181
2004,1,2,23,25,32.079743,-88.148712,-88.148712,32.079743
2001,1,2,23,26,31.981533,-88.150437,-88.150437,31.981533
2002,1,2,23,27,32.079351,-88.254543,-88.254543,32.079351
2001,1,2,23,28,32.301125,-88.305819,-88.305819,32.301125
2004,1,2,23,29,32.294422,-88.361235,-88.361235,32.294422
2002,1,2,23,30,32.081256,-88.061454,-88.061454,32.081256
2004,1,2,23,31,32.302909,-88.102109,-88.102109,32.302909
2003,1,2,23,32,31.966936,-88.225973,-88.225973,31.966936
2004,1,2,23,34,31.815714,-88.411089,-88.411089,31.815714
2001,1,2,23,35,31.905326,-88.468336,-88.468336,31.905326
2001,1,2,23,36,32.209694,-88.198698,-88.198698,32.209694
2001,1,2,23,37,32.215563,-88.357179,-88.357179,32.215563
2003,1,2,23,38,31.724479,-88.454592,-88.454592,31.724479
2003,1,2,23,39,31.720049,-88.150045,-88.150045,31.720049
2003,1,2,23,40,32.300162,-88.003015,-88.003015,32.300162
2002,1,2,23,41,31.853968,-88.304449,-88.304449,31.853968
2003,1,2,23,42,31.81109,-88.306611,-88.306611,31.81109
2004,1,2,23,43,32.21187,-88.410975,-88.410975,32.21187
2004,1,2,23,44,32.150001,-88.437548,-88.437548,32.150001
2004,1,2,23,45,32.158164,-88.157062,-88.157062,32.158164
2001,1,2,23,46,31.7629,-88.202728,-88.202728,31.7629
2003,1,2,23,47,32.297153,-88.156925,-88.156925,32.297153
2001,1,2,23,48,32.255194,-88.170577,-88.170577,32.255194
2004,1,2,23,49,31.906352,-88.353681,-88.353681,31.906352
2001,1,2,23,50,32.030952,-88.414838,-88.414838,32.030952
2001,1,2,23,51,31.797121,-88.308905,-88.308905,31.797121
2001,1,2,23,52,31.727476,-88.356262,-88.356262,31.727476
2001,1,2,23,53,31.815032,-88.208515,-88.208515,31.815032
2003,1,2,23,54,32.044045,-88.204225,-88.204225,32.044045
2004,1,2,23,55,32.078349,-88.3095,-88.3095,32.078349
2004,1,2,23,56,32.20975,-88.305435,-88.305435,32.20975
2003,1,2,23,57,31.861555,-88.405479,-88.405479,31.861555
2003,1,2,23,58,32.259522,-88.414429,-88.414429,32.259522
2003,1,2,23,59,31.946143,-88.24457,-88.24457,31.946143
2001,1,2,23,60,31.984665,-88.31186,-88.31186,31.984665
2001,1,2,23,61,32.159834,-88.208723,-88.208723,32.159834
2004,1,2,23,62,32.25623,-88.099628,-88.099628,32.25623
2002,1,2,23,63,31.867992,-88.15096,-88.15096,31.867992
2003,1,2,23,64,31.898252,-88.251878,-88.251878,31.898252
2002,1,2,23,65,32.079717,-88.357612,-88.357612,32.079717
2001,1,2,23,66,32.166548,-88.099726,-88.099726,32.166548
2004,1,2,23,67,31.769295,-88.253624,-88.253624,31.769295
2003,1,2,23,68,32.113977,-88.056108,-88.056108,32.113977
2002,1,2,23,69,32.170191,-88.367482,-88.367482,32.170191
2001,1,2,23,70,32.204247,-88.0547,-88.0547,32.204247
2003,1,2,23,71,31.989753,-88.097628,-88.097628,31.989753
2001,1,2,23,72,32.128284,-88.403493,-88.403493,32.128284
2004,1,2,23,73,31.854262,-88.253419,-88.253419,31.854262
2001,1,2,23,74,32.021068,-88.262898,-88.262898,32.021068
2002,1,2,23,75,31.982526,-88.414859,-88.414859,31.982526
2001,1,2,23,76,31.808756,-88.35609,-88.35609,31.808756
2004,1,2,23,77,31.9909,-88.20025,-88.20025,31.9909
2005,1,2,23,78,31.86113,-88.201813,-88.201813,31.86113
2005,1,2,23,79,31.952737,-88.199935,-88.199935,31.952737
2005,1,2,23,80,32.079068,-88.407964,-88.407964,32.079068
2005,1,2,23,81,32.259052,-88.359219,-88.359219,32.259052
2005,1,2,23,82,31.720371,-88.097541,-88.097541,31.720371
2005,1,2,23,83,32.274727,-88.071544,-88.071544,32.274727
2005,1,2,23,84,32.12283,-88.154518,-88.154518,32.12283
2005,1,2,23,85,32.119541,-88.25437,-88.25437,32.119541
2005,1,2,23,86,32.023338,-88.454548,-88.454548,32.023338
2005,1,2,23,87,32.169302,-88.406616,-88.406616,32.169302
2005,1,2,23,88,31.856755,-88.360209,-88.360209,31.856755
2005,1,2,23,89,31.942814,-88.304151,-88.304151,31.942814
2005,1,2,23,90,32.249326,-88.209729,-88.209729,32.249326
2005,1,2,23,91,31.726544,-88.412173,-88.412173,31.726544
2005,1,2,23,92,32.026687,-88.158608,-88.158608,32.026687
2005,1,2,23,93,32.036304,-88.304391,-88.304391,32.036304
2005,1,2,23,94,31.775196,-88.360815,-88.360815,31.775196
2005,1,2,23,95,32.200732,-88.095842,-88.095842,32.200732
2005,1,2,23,96,31.800535,-88.23754,-88.23754,31.800535
2005,1,2,23,97,31.7271,-88.2603,-88.2603,31.7271
2005,1,2,23,98,32.172159,-88.250663,-88.250663,32.172159
2005,1,2,23,99,32.016282,-88.242947,-88.242947,32.016282
2011,1,2,23,101,31.841686,-88.391904,-88.391904,31.841686
2007,1,2,23,102,32.128619,-88.385171,-88.385171,32.128619
2007,1,2,23,103,32.014266,-88.390991,-88.390991,32.014266
2012,1,2,23,104,31.792019,-88.382479,-88.382479,31.792019
2008,1,2,23,105,31.933107,-88.422402,-88.422402,31.933107
2002,1,2,25,4,31.942814,-87.96663,-87.96663,31.942814
2002,1,2,25,5,31.774763,-88.007496,-88.007496,31.774763
2001,1,2,25,6,31.85702,-87.756994,-87.756994,31.85702
2002,1,2,25,7,31.946694,-88.10671,-88.10671,31.946694
2003,1,2,25,13,31.904433,-87.704951,-87.704951,31.904433
2002,1,2,25,16,31.947239,-87.846444,-87.846444,31.947239
2004,1,2,25,17,31.944691,-87.911841,-87.911841,31.944691
2001,1,2,25,20,31.778242,-87.907762,-87.907762,31.778242
2003,1,2,25,21,31.812157,-87.860721,-87.860721,31.812157
2004,1,2,25,22,31.945783,-88.061725,-88.061725,31.945783
2004,1,2,25,23,31.811393,-87.596963,-87.596963,31.811393
2001,1,2,25,24,31.766381,-87.641176,-87.641176,31.766381
2003,1,2,25,27,31.818191,-87.708364,-87.708364,31.818191
2004,1,2,25,29,31.781253,-88.055772,-88.055772,31.781253
2003,1,2,25,34,31.827968,-88.104002,-88.104002,31.827968
2002,1,2,25,35,31.812658,-87.743547,-87.743547,31.812658
2002,1,2,25,37,31.900824,-87.863635,-87.863635,31.900824
2004,1,2,25,41,31.852214,-88.046783,-88.046783,31.852214
2004,1,2,25,47,31.858193,-87.813437,-87.813437,31.858193
2003,1,2,25,49,31.892969,-87.80764,-87.80764,31.892969
