invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2009,16,1,9,80643,47.263939,-116.402604,-116.402604,47.263939
2010,16,1,9,83438,47.401668,-116.402468,-116.402468,47.401668
2006,16,1,9,83670,47.360325,-116.338346,-116.338346,47.360325
2012,16,1,9,83887,47.098648,-116.335458,-116.335458,47.098648
2012,16,1,9,85227,47.222473,-116.337883,-116.337883,47.222473
2006,16,1,9,85616,47.179362,-116.34097,-116.34097,47.179362
2006,16,1,9,85709,47.040896,-116.348158,-116.348158,47.040896
2005,16,1,9,85748,47.308737,-116.40814,-116.40814,47.308737
2011,16,1,9,86461,47.132571,-116.335674,-116.335674,47.132571
2012,16,1,9,87486,47.402812,-116.343804,-116.343804,47.402812
2011,16,1,9,88758,47.268714,-116.34183,-116.34183,47.268714
2007,16,1,9,88900,47.307399,-116.353546,-116.353546,47.307399
2013,16,1,17,80110,48.435572,-116.3973,-116.3973,48.435572
2006,16,1,17,80121,48.393026,-116.264506,-116.264506,48.393026
2004,16,1,17,80128,48.029343,-116.133979,-116.133979,48.029343
2007,16,1,17,80157,48.43511,-116.259838,-116.259838,48.43511
2007,16,1,17,80174,48.122414,-116.729652,-116.729652,48.122414
2011,16,1,17,80183,48.662387,-116.997219,-116.997219,48.662387
2005,16,1,17,80212,48.621891,-116.879686,-116.879686,48.621891
2013,16,1,17,80227,48.299895,-116.598524,-116.598524,48.299895
2013,16,1,17,80310,48.260562,-116.929093,-116.929093,48.260562
2009,16,1,17,80409,48.260652,-116.191294,-116.191294,48.260652
2013,16,1,17,80494,48.120755,-116.935856,-116.935856,48.120755
2012,16,1,17,80609,48.30625,-116.933882,-116.933882,48.30625
2012,16,1,17,80640,48.400102,-116.067355,-116.067355,48.400102
2010,16,1,17,80683,48.483145,-116.65692,-116.65692,48.483145
2006,16,1,17,80725,48.372172,-116.640183,-116.640183,48.372172
2010,16,1,17,80736,48.212808,-116.124813,-116.124813,48.212808
2007,16,1,17,80741,48.763636,-116.819057,-116.819057,48.763636
