invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2002,17,3,31,20011,41.596169,-87.766728,-87.766728,41.596169
2003,17,3,31,20039,42.089514,-87.858873,-87.858873,42.089514
2003,17,3,31,20062,41.528285,-87.743059,-87.743059,41.528285
2002,17,3,31,20075,41.664207,-87.872379,-87.872379,41.664207
2004,17,3,31,20083,42.120016,-87.769294,-87.769294,42.120016
2001,17,3,31,20116,41.480739,-87.662797,-87.662797,41.480739
2001,17,3,31,20133,41.558958,-87.61452,-87.61452,41.558958
2001,17,3,31,20156,41.723558,-87.881037,-87.881037,41.723558
2005,17,3,31,20171,42.146657,-87.898781,-87.898781,42.146657
2003,17,3,31,20202,41.555722,-87.557597,-87.557597,41.555722
2005,17,3,75,20063,40.979735,-87.699376,-87.699376,40.979735
2002,17,3,91,20068,41.055748,-87.608207,-87.608207,41.055748
2003,17,3,91,20106,41.154251,-87.70532,-87.70532,41.154251
2005,17,3,197,20013,41.590199,-87.964734000000007,-87.964734000000007,41.590199
2005,17,3,197,20034,41.372552,-87.546429,-87.546429,41.372552
2004,17,3,197,20163,41.423773,-87.58886,-87.58886,41.423773
2009,18,4,1,10224,40.699011,-84.997669,-84.997669,40.699011
2001,18,4,1,20097,40.916331,-84.907032,-84.907032,40.916331
2011,18,4,3,1271,41.155912,-85.253919,-85.253919,41.155912
2007,18,4,3,10222,41.24223,-84.993705,-84.993705,41.24223
2009,18,4,3,10257,41.050524,-84.85798,-84.85798,41.050524
2001,18,4,3,20018,41.158836,-84.954367,-84.954367,41.158836
2001,18,4,3,20033,40.98934,-85.181968,-85.181968,40.98934
2001,18,4,3,20041,41.230087,-84.913152,-84.913152,41.230087
2000,18,4,3,20053,40.944569,-84.869427,-84.869427,40.944569
2000,18,4,3,20056,41.257604,-85.294834,-85.294834,41.257604
2000,18,4,3,20067,40.956772,-85.26797,-85.26797,40.956772
1999,18,4,3,20070,41.250897,-85.165396,-85.165396,41.250897
2002,18,4,3,20114,40.948835,-84.995399,-84.995399,40.948835
2002,18,4,3,20121,41.037047,-85.20316,-85.20316,41.037047
1999,18,4,3,20122,40.94038,-85.29683,-85.29683,40.94038
2000,18,4,3,20123,40.96204,-85.066528,-85.066528,40.96204
1999,18,4,3,20143,41.159962,-84.865196,-84.865196,41.159962
2003,18,4,3,20148,41.073793,-84.967401,-84.967401,41.073793
2000,18,4,3,20168,41.25471,-85.122673,-85.122673,41.25471
1999,18,4,3,20174,41.169175,-85.191936,-85.191936,41.169175
2003,18,4,3,20188,41.227175,-84.916175,-84.916175,41.227175
2000,18,4,3,20194,41.035198,-85.324776,-85.324776,41.035198
2003,18,4,3,20204,40.990261,-85.29403,-85.29403,40.990261
2010,18,4,33,1120,41.419037,-84.811736,-84.811736,41.419037
2011,18,4,33,1121,41.523492,-84.879309,-84.879309,41.523492
2010,18,4,33,1122,41.504416,-84.984548,-84.984548,41.504416
2010,18,4,33,1126,41.509603,-85.114345,-85.114345,41.509603
2010,18,4,33,1127,41.425173,-85.161586,-85.161586,41.425173
2011,18,4,33,1128,41.437611,-85.101656,-85.101656,41.437611
2010,18,4,33,1131,41.3436,-84.878407,-84.878407,41.3436
2011,18,4,33,1135,41.274809,-85.028548,-85.028548,41.274809
