invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2004,6,2,35,50281,40.63253,-120.883572,-120.883572,40.63253
2004,6,2,35,50401,40.830683,-120.606105,-120.606105,40.830683
2002,6,2,35,50402,40.741974,-121.129558,-121.129558,40.741974
2008,6,2,35,50465,40.333062,-120.71922000000001,-120.71922000000001,40.333062
2009,6,2,35,50596,41.054677,-120.13087,-120.13087,41.054677
2010,6,2,35,50665,41.087133,-120.922806,-120.922806,41.087133
2010,6,2,35,50833,40.766956,-120.875258,-120.875258,40.766956
2008,6,2,35,50976,41.169086,-120.210636,-120.210636,41.169086
2007,6,2,35,51101,40.979407,-120.678902,-120.678902,40.979407
2007,6,2,35,51442,40.529303,-120.784448,-120.784448,40.529303
2006,6,2,35,51499,40.988821,-120.86199,-120.86199,40.988821
2008,6,2,35,52149,40.95369,-121.117011,-121.117011,40.95369
2006,6,2,35,52969,41.168987,-120.262369,-120.262369,41.168987
2006,6,2,35,53042,41.146513,-120.096592,-120.096592,41.146513
2006,6,2,35,53314,40.809653,-120.531038,-120.531038,40.809653
2007,6,2,35,54153,40.907162,-120.348391,-120.348391,40.907162
2007,6,2,35,54424,40.837009,-121.124623,-121.124623,40.837009
2007,6,2,35,54425,41.030952,-120.97891,-120.97891,41.030952
2005,6,2,35,54430,40.734908,-120.691098,-120.691098,40.734908
2003,6,2,35,54835,41.18031,-120.656141,-120.656141,41.18031
2009,6,2,35,56171,41.168686,-120.7912,-120.7912,41.168686
2003,6,2,35,56557,41.144026,-121.315095,-121.315095,41.144026
2006,6,2,35,56562,40.600742,-120.916354,-120.916354,40.600742
2002,6,2,35,56575,40.934131,-120.802314,-120.802314,40.934131
2008,6,2,35,56642,40.293784,-120.569161,-120.569161,40.293784
2009,6,2,35,57375,40.491625,-120.681269,-120.681269,40.491625
2006,6,2,35,57404,41.010177,-120.238128,-120.238128,41.010177
2009,6,2,35,57942,41.024023,-121.254382,-121.254382,41.024023
2005,6,2,35,57950,41.125358,-120.387527,-120.387527,41.125358
2009,6,2,35,57951,40.839462,-121.073944,-121.073944,40.839462
2009,6,2,35,58054,40.761263,-120.27156600000001,-120.27156600000001,40.761263
2010,6,2,35,58176,40.466424,-120.537327,-120.537327,40.466424
2002,6,2,35,58697,40.427312,-120.754488,-120.754488,40.427312
2003,6,2,35,58779,40.780504,-120.140816,-120.140816,40.780504
2010,6,2,35,58785,40.643809,-121.004027,-121.004027,40.643809
2007,6,2,35,58810,40.721628,-120.963177,-120.963177,40.721628
2006,6,2,35,59192,41.094131,-120.707631,-120.707631,41.094131
2003,6,2,35,60522,41.034939,-120.323271,-120.323271,41.034939
2007,6,2,35,60872,40.997923,-120.853493,-120.853493,40.997923
2006,6,2,35,60903,40.807612,-120.056627,-120.056627,40.807612
2001,6,2,35,60969,40.897865,-120.868413,-120.868413,40.897865
2006,6,2,35,61031,40.786056,-121.189806,-121.189806,40.786056
2004,6,2,35,61112,40.00932,-120.035452,-120.035452,40.00932
2010,6,2,35,61212,41.057956,-121.253271,-121.253271,41.057956
2002,6,2,35,61805,40.855372,-120.034346,-120.034346,40.855372
2004,6,2,35,62353,41.119115,-120.470932,-120.470932,41.119115
2001,6,2,35,62674,39.954094,-120.134287,-120.134287,39.954094
2004,6,2,35,62849,40.958791,-120.461989,-120.461989,40.958791
2007,6,2,35,63038,40.90511,-120.170163,-120.170163,40.90511
2007,6,2,35,63393,40.834367,-120.827245,-120.827245,40.834367
2002,6,2,35,63531,40.953067,-121.309291,-121.309291,40.953067
2003,6,2,35,64060,41.007891,-120.638722,-120.638722,41.007891
2004,6,2,35,64409,41.111167,-121.251039,-121.251039,41.111167
2003,6,2,35,64702,40.88819,-121.121161,-121.121161,40.88819
2006,6,2,35,64772,40.171622,-120.442407,-120.442407,40.171622
2010,6,2,35,64979,40.834919,-120.953971,-120.953971,40.834919
2008,6,2,35,65127,40.734482,-120.923742,-120.923742,40.734482
2005,6,2,35,65247,40.919972,-120.42112,-120.42112,40.919972
2008,6,2,35,65375,40.819534,-120.483541,-120.483541,40.819534
2008,6,2,35,65542,40.954537,-120.65221,-120.65221,40.954537
2006,6,2,35,65971,40.634508,-120.81091,-120.81091,40.634508
2001,6,2,35,66086,40.852664,-121.146876,-121.146876,40.852664
2008,6,2,35,66182,40.776312,-120.619103,-120.619103,40.776312
2008,6,2,35,66203,40.911533,-121.268115,-121.268115,40.911533
2005,6,2,35,66325,40.843967,-120.867189,-120.867189,40.843967
2006,6,2,35,66588,40.897644,-121.320569,-121.320569,40.897644
2007,6,2,35,66685,40.334116,-120.753298,-120.753298,40.334116
2005,6,2,35,67649,41.132067,-121.215375,-121.215375,41.132067
2010,6,2,35,67765,40.9242,-120.921518,-120.921518,40.9242
2005,6,2,35,67902,41.018467,-120.893379,-120.893379,41.018467
2010,6,2,35,68204,40.33564,-120.66828,-120.66828,40.33564
2003,6,2,35,68823,40.690528,-120.941616,-120.941616,40.690528
2004,6,2,35,68846,41.132453,-120.615221,-120.615221,41.132453
2004,6,2,35,69062,40.811586,-120.113306,-120.113306,40.811586
2004,6,2,35,69487,39.716485,-120.135663,-120.135663,39.716485
2002,6,2,35,69897,41.008345,-120.009786,-120.009786,41.008345
2009,6,2,35,70277,40.896611,-120.905158,-120.905158,40.896611
2006,6,2,35,70284,40.287346,-120.630088,-120.630088,40.287346
2008,6,2,35,70876,40.792055,-121.091956,-121.091956,40.792055
2005,6,2,35,70918,41.056058,-120.727232,-120.727232,41.056058
2004,6,2,35,70975,41.171238,-120.325533,-120.325533,41.171238
2002,6,2,35,71400,40.588651,-120.80156,-120.80156,40.588651
2009,6,2,35,72066,41.099132,-120.29366,-120.29366,41.099132
2006,6,2,35,72523,40.923972,-120.67341,-120.67341,40.923972
2010,6,2,35,72567,40.787978,-121.059208,-121.059208,40.787978
2010,6,2,35,72781,40.584148,-120.886032,-120.886032,40.584148
2001,6,2,35,73305,41.041531,-120.87211,-120.87211,41.041531
2003,6,2,35,73333,40.796484,-121.264613,-121.264613,40.796484
2003,6,2,35,73421,40.696706,-120.636356,-120.636356,40.696706
2005,6,2,35,73550,40.710012999999996,-120.55222,-120.55222,40.710012999999996
2010,6,2,35,73687,41.166796,-120.472114,-120.472114,41.166796
2004,6,2,35,73716,40.983622,-120.930968,-120.930968,40.983622
2003,6,2,35,73945,40.741211,-120.80354,-120.80354,40.741211
2008,6,2,35,74620,40.796121,-120.789333,-120.789333,40.796121
2004,6,2,35,75125,40.678849,-120.595612,-120.595612,40.678849
2001,6,2,35,75153,40.983434,-120.994221,-120.994221,40.983434
2004,6,2,35,75166,40.804432,-120.933499,-120.933499,40.804432
2001,6,2,35,75869,40.685672,-120.994755,-120.994755,40.685672
2005,6,2,35,76083,41.006175,-120.588476,-120.588476,41.006175
2005,6,2,35,76215,41.181089,-120.913365,-120.913365,41.181089
2001,6,2,35,76223,40.713118,-120.837078,-120.837078,40.713118
2001,6,2,35,76693,40.835555,-121.002577,-121.002577,40.835555
2010,6,2,35,76878,40.733656,-121.218192,-121.218192,40.733656
2001,6,2,35,76997,40.802058,-121.309443,-121.309443,40.802058
2009,6,2,35,77402,41.029675,-120.921807,-120.921807,41.029675
2006,6,2,35,77575,40.783662,-120.671598,-120.671598,40.783662
2009,6,2,35,77619,41.051704,-120.627875,-120.627875,41.051704
2010,6,2,35,77659,40.889306,-121.190995,-121.190995,40.889306
