spcd,common_name,genus,species
6756,cannonball tree,Couroupita,guianensis
6758,sacred garlic pear,Crateva,religiosa
6759,Stansbury cliffrose,Purshia,stansburiana
6760,"houka, calabash",Crescentia,alata
6761,common calabash tree,Crescentia,cujete
6762,higuerito,Crescentia,linearifolia
6763,higuero de sierra,Crescentia,portoricensis
6765,Critonia portoricensis,Critonia,portoricensis
6767,maidenberry,Crossopetalum,rhacoma
6768,Arkansas oak,Quercus,arkansana
6769,Saitamu,Crossostylis,biflora
6771,longbeak rattlebox,Crotalaria,longirostrata
6772,croton spp.,Croton,spp.
6773,wild marrow,Croton,astroites
6774,Croton flavens,Croton,flavens
6775,sabinon,Croton,poecilanthus
6778,Cryptocarya oreophila,Cryptocarya,oreophila
6779,laulilii,Cryptocarya,elegans
6781,holio,Cryptocarya,mannii
6782,Georgia oak,Quercus,georgiana
6783,cryptocarya,Cryptocarya,spp.
6784,laulilii,Cryptocarya,turbinata
6785,Havard oak,Quercus,havardii
6786,Japanese cedar,Cryptomeria,japonica
6787,Japanese cedar,Cryptomeria,spp.
6788,Chinese fir,Cunninghamia,lanceolata
6790,wild ackee,Cupania,americana
6791,myrtle oak,Quercus,myrtifolia
6792,guara blanca,Cupania,triquetra
6794,durmast oak,Quercus,petraea
6795,cedar-of-Goa,Cupressus,lusitanica
6796,Italian cypress,Cupressus,sempervirens
6797,English oak,Quercus,robur
6799,bastard oak,Quercus,sinuata
6800,Haleakala cyanea,Cyanea,aculeatiflora
6801,palmtree cyanea,Cyanea,arborea
6802,Kauai cyanea,Cyanea,fissa
6805,Degeners cyanea,Cyanea,floribunda
6806,Kilauea Mauna cyanea,Cyanea,giffardii
6807,wetforest cyanea,Cyanea,hamatiflora
6810,Oahu cyanea,Cyanea,hardyi
6811,prickly cyanea,Cyanea,horrida
6812,Limahuli Valley cyanea,Cyanea,kuhihewa
6813,Kunths cyanea,Cyanea,kunthiana
6814,giant kokee cyanea,Cyanea,leptostegia
6815,purple cyanea,Cyanea,macrostegia
6818,Marks cyanea,Cyanea,marksii
6819,hairy cyanea,Cyanea,pilosa
6822,pohaku cyanea,Cyanea,pohaku
6823,Molokai cyanea,Cyanea,procera
6824,manyfruit cyanea,Cyanea,pycnocarpa
6825,oakleaf cyanea,Cyanea,quercifolia
6826,plateau delissea,Cyanea,rivularis
6827,pua kala,Cyanea,solenocalyx
6828,cyanea,Cyanea,spp.
6829,Kaiholena cyanea,Cyanea,stictophylla
6830,Mt. Kaala cyanea,Cyanea,superba
6833,aku aku,Cyanea,tritomantha
6834,parrotfeather treefern,Cyathea,andina
6835,West Indian treefern,Cyathea,arborea
6837,Coopers cyathea,Cyathea,cooperi
6838,olioli,Cyathea,decurrens
6839,Jamaican treefern,Cyathea,furfuracea
6840,olioli,Cyathea,lunulata
6841,olioli,Cyathea,medullaris
6842,kattar,Cyathea,nigricans
6843,small treefern,Cyathea,parvula
6844,kattar,Cyathea,ponapeana
6847,treefern,Cyathea,spp.
6848,helecho gigante,Cyathea,tenera
6849,olioli,Cyathea,truncata
6850,Cybianthus sintenisii,Cybianthus,sintenisii
6852,queen sago,Cycas,circinalis
6853,remiang,Cycas,revoluta
6854,Cycas,Cycas,spp.
6855,ola,Cyclophyllum,barbatum
6857,oreganillo falso,Cynometra,portoricensis
6858,gulos,Cynometra,ramiflora
6859,eeme,Cynometra,yokotae
6860,tree-tomato,Cyphomandra,betacea
6862,swamp titi,Cyrilla,racemiflora
6863,cyrtandra,Cyrtandra,pulchella
6864,Cyrtandra,Cyrtandra,ramosissima
6865,forest cyrtandra,Cyrtandra,giffardii
6866,cyrtandra,Cyrtandra,spp.
6867,candletree,Dacryodes,excelsa
6868,Dalbergia retusa,Dalbergia,retusa
6869,Indian rosewood,Dalbergia,sissoo
6870,cocobolo,Dalbergia,tucurensis
6871,burn nose,Daphnopsis,americana
6872,Heller's cieneguillo,Daphnopsis,helleriana
6873,emajagua de sierra,Daphnopsis,philippiana
6875,Hawaii delissea,Delissea,fallax
6876,cutleaf delissea,Delissea,laciniata
6877,Niihau delissea,Delissea,niihauensis
6880,smallflower delissea,Delissea,parviflora
6881,delissea,Delissea,spp.
6882,leechleaf delissea,Delissea,undulata
6883,royal poinciana,Delonix,regia
6884,delonix,Delonix,spp.
6885,salato,Dendrocnide,harveyi
6886,kahtat,Dendrocnide,latifolia
6887,Dendrocnide,Dendrocnide,spp.
6888,angelica tree,Dendropanax,arboreus
6889,palo de vaca,Dendropanax,laurifolius
6891,redpalm,Dictyosperma,album
6896,chulta,Dillenia,indica
6898,shrubby dillenia,Dillenia,suffruticosa
6899,Dimocarpus longan,Dimocarpus,longan
6900,mabolo,Diospyros,blancoi
6902,Mabolo,Diospyros,discolor
6903,Black sapote,Diospyros,ebenaster
6904,anume,Diospyros,elliptica
6905,Diospyros ferrea,Diospyros,ferrea
6906,elama,Diospyros,hillebrandii
6907,persimmon,Diospyros,kaki
6909,black apple,Diospyros,revoluta
6910,auauli,Diospyros,samoensis
6911,lama,Diospyros,sandwicensis
6912,Chinese persimmon,Diospyros,sintenisii
6918,common buckthorn,Rhamnus,cathartica
6921,otot,Discocalyx,ponapensis
6923,jaboncillo,Ditta,myricoides
6924,staghorn sumac,Rhus,typhina
6927,Florida hopbush,Dodonaea,viscosa
6928,rru,Dolichandrone,spathacea
6930,Ceylon gooseberry,Dovyalis,hebecarpa
6932,fragrant dracaena,Dracaena,fragrans
6933,Dracaena multiflora,Dracaena,multiflora
6934,song of India,Dracaena,reflexa
6935,Drypetes carolinensis,Drypetes,carolinensis
6936,Drypetes dolichocarpa,Drypetes,dolichocarpa
6937,cafeillo,Drypetes,alba
6938,varital,Drypetes,glauca
6939,rosewood,Drypetes,ilicifolia
6940,guiana plum,Drypetes,lateriflora
6941,kevert,Drypetes,nitida
6942,Drypetes,Drypetes,spp.
6943,,Drypetes,vitiensis
6944,Dubautia,Dubautia,demissifolia
6945,Dubautia,Dubautia,fallax
6946,Dubautia,Dubautia,montana
6947,Mauna Kea dubautia,Dubautia,arborea
6948,forest dubautia,Dubautia,knudsenii
6949,Drypetes yapensis,Drypetes,yapensis
6952,Kauai dubautia,Dubautia,microcephala
6953,plantainleaf dubautia,Dubautia,plantaginea
6954,Elaeagnus willow,Salix,elaeagnos
6957,netvein dubautia,Dubautia,reticulata
